Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Nudibranchs,Onchidorididae,Sandalwood Dorid,Acanthodoris lutea,#N/A,,"1,042",905,12,,
Nudibranchs,Polyceridae,Cockerell's Dorid,Limacia cockerelli,2024-09-19,US-CA,"1,038",707,,,
Flowering Plants,Monkeyflowers,Skunky Monkeyflower,Diplacus mephiticus,#N/A,,"1,035",0,,,
Flowering Plants,Orchids,Elegant Rein Orchid,Platanthera elegans,2024-08-09,US-CA,"1,028",793,,,
Flowering Plants,Clarkias,Slender Clarkia,Clarkia gracilis,2026-04-18,US-CA,"1,018",726,,,
Nudibranchs,Cadlinidae,Yellow-spotted Cadlina,Cadlina flavomaculata,#N/A,,"1,017",48,,6,LA/SD
Sea Stars,Asteriid Sea Stars,Giant Sea Star,Pisaster giganteus,#N/A,,"1,015",139,1,,
Butterflies,Coppers,Purplish Copper,Tharsalea helloides,2024-09-22,US-CA,"1,009",563,,,
Dragonflies,Skimmers,Twelve-spotted Skimmer,Libellula pulchella,2024-07-26,US-CA,"1,006",247,,,
Mammals,Old World Mice & Rats,Black Rat,Rattus rattus,2025-11-07,US-CA,"1,005",341,,,
Dragonflies,Spiketails,Pacific Spiketail,Cordulegaster dorsalis,2024-06-06,US-CA,"1,001",569,,,
Mammals,Mustelids,Long-tailed Weasel,Neogale frenata,#N/A,,"1,000",520,6,,
Snakes,Colubrid Snakes,Coast Night Snake,Hypsiglena ochrorhynchus,#N/A,,997,121,5,,
Butterflies,Coppers,Gorgon Copper,Tharsalea gorgon,2024-05-22,US-CA,997,643,,,
Butterflies,Hairstreaks,Sylvan Hairstreak,Satyrium sylvinus,2025-05-28,US-CA,997,157,,,"Sunol Regional Wilderness, Pinnacles"
Butterflies,Blues,Greenish Blue,Icaricia saepiolus,2024-07-18,CA-AB,992,0,,,
Flowering Plants,Clarkias,Botta's Clarkia,Clarkia bottae,#N/A,,992,0,,,
Butterflies,Hairstreaks,California Hairstreak,Satyrium californica,2025-05-31,US-CA,982,179,,,
Nudibranchs,Janolidae,Cockscomb Nudibranch,Antiopella barbarensis,#N/A,,981,55,10,,
Lizards,Phrynosomatid Lizards,Banded Rock Lizard,Petrosaurus mearnsi,#N/A,,957,0,,,
Butterflies,Fritillaries & Longwings,Callippe Fritillary,Argynnis callippe,2024-06-06,US-CA,952,304,,,
Moths,Buck & Io Moths,Western Sheep Moth,Hemileuca eglanterina,2023-08-06,US-CA,950,278,,,
Flowering Plants,Violets,Douglas' Violet,Viola douglasii,2026-03-08,US-CA,941,142,,,
Butterflies,Yellows & Sulphurs,California Dogface,Zerene eurydice,2025-05-31,US-CA,935,354,,,
Flowering Plants,Lobelias,Doublehorn Calicoflower,Downingia bicornuta,#N/A,,930,482,5,,Near Mather (Sac area)
Mammals,Oceanic Dolphins,Common Dolphin,Delphinus delphis,2024-06-18,US-CA,929,39,,,
Moths,Emperor Moths,Polyphemus Moth,Antheraea polyphemus,#N/A,,925,451,5,,
Flowering Plants,Monkeyflowers,Coastal Monkeyflower,Erythranthe dentata,#N/A,,920,0,,,
Flowering Plants,Violets,Macloskie's Violet,Viola macloskeyi,#N/A,,919,0,,,
Flowering Plants,Lilies,Fragrant Fritillary,Fritillaria liliacea,#N/A,,913,913,3,,
Flowering Plants,Monkeyflowers,Yellow and White Monkeyflower,Erythranthe bicolor,#N/A,,912,0,,,
Nudibranchs,Myrrhinidae,Horned Nudibranch,Hermissenda crassicornis,#N/A,,908,340,6,,
Lizards,Collared Lizards,Desert Collared Lizard,Crotaphytus bicinctores,#N/A,,905,0,,,
Butterflies,Blues,Ceraunus Blue,Hemiargus ceraunus,2023-11-25,US-CA,893,0,,,
Lizards,Glass & Alligator Lizards,San Diegan Legless Lizard,Anniella stebbinsi,#N/A,,893,0,,,
Newts & Salamanders,Mole Salamanders,Northwestern Salamander,Ambystoma gracile,#N/A,,893,7,,,
Flowering Plants,Orchids,Striped Coralroot,Corallorhiza striata,2026-04-10,US-CA,889,624,,,
Flowering Plants,Hellebores & Trilliums,Fringed False Hellebore,Veratrum fimbriatum,#N/A,,885,656,10,,
Dragonflies,Skimmers,Mexican Amberwing,Perithemis intensa,#N/A,,885,0,,,
Sea Stars,Asteriid Sea Stars,Six-rayed Star,Leptasterias hexactis,#N/A,,880,258,6,,
Lizards,Night Lizards,Desert Night Lizard,Xantusia vigilis,#N/A,,877,0,,,
Mammals,Pikas,American Pika,Ochotona princeps,2024-07-17,CA-AB,872,0,,,
Sea Stars,Ophiodermatidae,Panama Serpent Star,Ophioderma panamense,#N/A,,869,0,,,
Nudibranchs,Dendrodorididae,Yellow-gilled Sea Goddess,Doriopsilla gemela,#N/A,,867,0,,,
Flowering Plants,Monkeyflowers,Fremont's Monkeyflower,Diplacus fremontii,#N/A,,864,0,,,
Snakes,Colubrid Snakes,Sierra Garter Snake,Thamnophis couchii,2024-09-20,US-CA,854,0,,,
Flowering Plants,Lilies,Sierra Mariposa Lily,Calochortus minimus,2023-08-19,US-CA,854,0,,,
Snakes,Colubrid Snakes,Western Patch-nosed Snake,Salvadora hexalepis,#N/A,,849,0,,,
Butterflies,Parnassians,Clodius Parnassian,Parnassius clodius,2023-07-23,US-CA,848,2,,,
Butterflies,Yellows & Sulphurs,Dainty Sulphur,Nathalis iole,2024-03-16,US-TX,844,2,,,
Newts & Salamanders,Lungless Salamanders,Wandering Salamander,Aneides vagrans,#N/A,,836,9,,,
Damselflies,Narrow-winged Damselflies,Tule Bluet,Enallagma carunculatum,2024-06-08,US-CA,836,330,,,
Flowering Plants,Lilies,Redwood Lily,Lilium rubescens,#N/A,,822,377,6,,
Moths,Sphinx Moths,Achemon Sphinx,Eumorpha achemon,#N/A,,820,303,8,,
Flowering Plants,Lobelias,Maroonspot Calicoflower,Downingia concolor,2026-04-18,US-CA,813,757,,,
Butterflies,Coppers,Great Copper,Tharsalea xanthoides,2024-05-30,US-CA,808,309,,,
Mammals,Oceanic Dolphins,Risso's Dolphin,Grampus griseus,2024-08-31,US-CA,805,81,,,
Flowering Plants,Lilies,Spotted Fritillary,Fritillaria atropurpurea,#N/A,,804,0,,,
Flowering Plants,Monkeyflowers,Largeflower Bush Monkeyflower,Diplacus grandiflorus,#N/A,,797,5,,,
Mammals,Mustelids,American Badger,Taxidea taxus,#N/A,,797,319,6,,
Butterflies,Hairstreaks,Juniper Hairstreak,Callophrys gryneus,#N/A,,796,2,,,
Damselflies,Narrow-winged Damselflies,Western Forktail,Ischnura perparva,2024-06-01,US-CA,790,416,,,
Snakes,Colubrid Snakes,Coast Mountain Kingsnake,Lampropeltis multifasciata,#N/A,,789,0,,,
Dragonflies,Skimmers,Spot-winged Glider,Pantala hymenaea,2024-06-25,US-RI,775,201,,,
Flowering Plants,Monkeyflowers,Island Bush Monkeyflower,Diplacus parviflorus,2024-06-17,US-CA,772,0,,,
Lizards,Phrynosomatid Lizards,Flat-tailed Horned Lizard,Phrynosoma mcallii,#N/A,,768,0,,,
Flowering Plants,Clarkias,Farewell-To-Spring,Clarkia amoena,2024-07-07,US-CA,759,582,,,
Snakes,Colubrid Snakes,Long-nosed Snake,Rhinocheilus lecontei,#N/A,,758,22,,,
Nudibranchs,Eubranchidae,Homely Aeolid,Eubranchus rustyus,#N/A,,745,270,6,,
Flowering Plants,Monkeyflowers,Purple-stemmed Monkeyflower,Erythranthe floribunda,#N/A,,738,17,,,
Butterflies,Fritillaries & Longwings,Coronis Fritillary,Argynnis coronis,2024-09-22,US-CA,736,321,,,
Snakes,Vipers,Mojave Rattlesnake,Crotalus scutulatus,#N/A,,736,0,,,
Flowering Plants,Lobelias,Toothed Calicoflower,Downingia cuspidata,#N/A,,729,118,5,,Lake Ilsanjo (North Bay)
Flowering Plants,Orchids,Phantom Orchid,Cephalanthera austiniae,#N/A,,723,32,,,
Nudibranchs,Trinchesiidae,Laguna Beach Aeolid,Tenellia lagunae,2026-02-01,US-CA,722,527,,,
Flowering Plants,Lilies,Columbia Lily,Lilium columbianum,#N/A,,720,0,,,
Dragonflies,Skimmers,Striped Meadowhawk,Sympetrum pallipes,2024-08-20,US-CA,716,230,,,
Butterflies,Hairstreaks,Great Purple Hairstreak,Atlides halesus,#N/A,,714,136,10,,
Nudibranchs,Bullidae,Cloudy Bubble Snail,Bulla gouldiana,#N/A,,711,1,,,
Flowering Plants,Lobelias,Flatface Calicoflower,Downingia pulchella,#N/A,,706,653,4,,Baylands (Fremont)
Flowering Plants,Clarkias,Speckled Clarkia,Clarkia cylindrica,#N/A,,704,1,,,
Butterflies,Blues,Western Tailed-Blue,Cupido amyntula,2024-06-18,US-CA,700,40,,,
Flowering Plants,Violets,Shelton's Violet,Viola sheltonii,2026-03-07,US-CA,699,2,,,
Flowering Plants,Orchids,Pacific Coralroot,Corallorhiza mertensiana,#N/A,,693,301,5,,Salt Point 
Dragonflies,Clubtails,Grappletail,Octogomphus specularis,2025-06-21,US-CA,687,304,,,
Newts & Salamanders,Mole Salamanders,California Tiger Salamander,Ambystoma californiense,2026-04-18,US-CA,685,486,4,,
Lizards,Wall Lizards,Italian Wall Lizard,Podarcis siculus,#N/A,,684,0,,,
Moths,Sphinx Moths,Rocky Mountain Clearwing,Hemaris thetis,2024-06-06,US-CA,682,113,,,
Butterflies,"Satyrs, Morphos, & Allies",Common Wood-Nymph,Cercyonis pegala,2024-06-03,US-CA,681,540,,,
Flowering Plants,Lilies,Lemon Lily,Lilium parryi,#N/A,,678,0,,,
Flowering Plants,Monkeyflowers,Tiling's Monkeyflower,Erythranthe tilingii,#N/A,,673,0,,,
Mammals,Squirrels,Belding's Ground Squirrel,Urocitellus beldingi,2023-08-05,US-CA,670,0,,,
Mammals,Canids,Red Fox,Vulpes vulpes,#N/A,,658,334,5,,
Mammals,Squirrels,Sonoma Chipmunk,Neotamias sonomae,2024-07-06,US-CA,650,624,,,
Turles & Tortoises,Softshell & Flapshell Turtles,Spiny Softshell,Apalone spinifera,#N/A,,642,96,3,,
Mammals,"Voles, Lemmings, & Muskrats",Muskrat,Ondatra zibethicus,2024-07-02,US-GA,640,403,,,
Butterflies,Swallowtails,Black Swallowtail,Papilio polyxenes,#N/A,,639,2,,,
Dragonflies,Clubtails,Pacific Clubtail,Phanogomphus kurilis,2025-05-31,US-CA,637,403,,,
Flowering Plants,Monkeyflowers,Layne's Monkeyflower,Diplacus layneae,#N/A,,637,106,5,,
Flowering Plants,Monkeyflowers,Monterey Monkeyflower,Diplacus linearis,#N/A,,635,0,,,
Butterflies,Coppers,Tailed Copper,Tharsalea arota,2024-06-14,US-CA,630,250,,,
Flowering Plants,Orchids,Hooded Ladies' Tresses,Spiranthes romanzoffiana,#N/A,,630,237,8,,
Mammals,Squirrels,Humboldt's Flying Squirrel,Glaucomys oregonensis,#N/A,,630,1,,,
Flowering Plants,Lilies,Late-blooming Mariposa Lily,Calochortus fimbriatus,#N/A,,621,0,,,
Nudibranchs,Goniodorididae,Ancula pacifica,Ancula pacifica,#N/A,,619,218,6,,
Butterflies,Hairstreaks,Mountain Mahogany Hairstreak,Satyrium tetra,2025-07-03,US-CA,618,109,,,Mt Diablo summit (June 20thish)
Nudibranchs,Tethydidae,Hooded Nudibranch,Melibe leonina,#N/A,,616,22,,,
Mammals,Moles & Desmans,American Shrewmole,Neurotrichus gibbsii,#N/A,,610,407,5,,
Moths,Sphinx Moths,Pacific Green Sphinx,Proserpinus lucidus,#N/A,,609,109,1,,
Mammals,Free-tailed Bats,Mexican Free-tailed Bat,Tadarida brasiliensis,#N/A,,598,309,10,,
Dragonflies,Skimmers,Four-spotted Skimmer,Libellula quadrimaculata,2023-08-19,US-CA,597,0,,,
Dragonflies,Skimmers,Wandering Glider,Pantala flavescens,2024-04-24,JP-47,596,102,,,
Moths,Sphinginae,Elegant Sphinx,Sphinx perelegans,#N/A,,594,68,7,,
Nudibranchs,Tritoniidae,Festive Tritonid,Tritonia festiva,#N/A,,594,147,6,,
Nudibranchs,Chromodorids,California Chromodorid,Felimare californiensis,#N/A,,592,0,,,
Flowering Plants,Orchids,Sparse-flowered Bog Orchid,Platanthera sparsiflora,#N/A,,581,0,,,
Snakes,Colubrid Snakes,California Mountain Kingsnake,Lampropeltis zonata,#N/A,,580,176,5,,
Flowering Plants,Violets,Mountain Yellow Violet,Viola pinetorum,#N/A,,577,0,,,
Butterflies,Grass Skippers,Field Skipper,Atalopedes campestris,2024-09-09,US-CA,574,353,,,
Flowering Plants,Lilies,Bruneau Mariposa Lily,Calochortus bruneaunis,#N/A,,573,0,,,
Butterflies,Hairstreaks,Golden Hairstreak,Habrodais grunus,2023-10-13,US-CA,572,298,,,
Butterflies,Fritillaries & Longwings,Pacific Fritillary,Boloria epithore,#N/A,,568,85,6,,
Flowering Plants,Lilies,Goldenbowl Mariposa Lily,Calochortus concolor,#N/A,,567,0,,,
Snakes,Colubrid Snakes,Western Leaf-nosed Snake,Phyllorhynchus decurtatus,#N/A,,562,0,,,
Sea Stars,Ophiopteridae,Flat-spined Brittle Star,Ophiopteris papillosa,#N/A,,561,7,,,
Flowering Plants,Lobelias,Harlequin Calicoflower,Downingia insignis,2026-04-18,US-CA,560,532,,,
Nudibranchs,Trinchesiidae,White-crusted Aeolid,Trinchesia albocrusta,#N/A,,560,158,6,,
Butterflies,Blues,Reakirt's Blue,Echinargus isola,2024-03-16,US-TX,555,1,,,
Flowering Plants,Monkeyflowers,Small-leaf Monkeyflower,Erythranthe microphylla,2026-03-21,US-CA,555,271,,,
Flowering Plants,Orchids,California Lady's Slipper,Cypripedium californicum,#N/A,,554,93,5,,
Flowering Plants,Clarkias,Canyon Clarkia,Clarkia epilobioides,#N/A,,551,2,,,
Flowering Plants,Lilies,San Luis Mariposa Lily,Calochortus obispoensis,#N/A,,551,0,,,
Dragonflies,Darners,California Darner,Rhionaeschna californica,#N/A,,547,358,4,,
Flowering Plants,Lilies,Purdy's Fritillary,Fritillaria purdyi,#N/A,,547,222,4,,
Damselflies,Narrow-winged Damselflies,Sooty Dancer,Argia lugens,2024-07-27,US-CA,546,100,,,
Mammals,Pronghorns,Pronghorn,Antilocapra americana,2024-04-07,US-CO,544,0,,,
Butterflies,Whites,Large Marble,Euchloe ausonides,2024-04-01,US-CA,542,409,,,
Newts & Salamanders,Lungless Salamanders,Speckled Black Salamander,Aneides flavipunctatus,#N/A,,541,187,2,,
Mammals,Old World Mice & Rats,Brown Rat,Rattus norvegicus,2024-09-09,US-CA,541,298,,,
Nudibranchs,Abronicidae,Elegant Aeolid,Abronica abronia,#N/A,,532,449,6,,
Damselflies,Narrow-winged Damselflies,Black-fronted Forktail,Ischnura denticollis,2025-05-18,US-CA,532,75,,,
Dragonflies,Skimmers,Red-tailed Pennant,Brachymesia furcata,#N/A,,531,0,,,
Flowering Plants,Violets,Beckwith's Violet,Viola beckwithii,#N/A,,530,0,,,
Butterflies,True Metalmarks,Fatal Metalmark,Calephelis nemesis,#N/A,,528,0,,,
Butterflies,Hairstreaks,Coastal Green Hairstreak,Callophrys viridis,2024-03-30,US-CA,523,482,,,
Butterflies,Checkerspots & Anglewings,Sagebrush Checkerspot,Chlosyne acastus,#N/A,,521,0,,,
Damselflies,Spreadwings & Allies,California Spreadwing,Archilestes californicus,#N/A,,515,130,10,,
Nudibranchs,Haminoeidae,Green Bubble Snail,Haminoea virescens,#N/A,,514,2,,,
Flowering Plants,Monkeyflowers,Tricolor Monkeyflower,Diplacus tricolor,#N/A,,513,230,4,,Near Mather (Sac area)
Sea Stars,Hemieuryalidae,Esmark's Brittle Star,Ophioplocus esmarki,#N/A,,508,38,,,
Newts & Salamanders,Lungless Salamanders,Gabilan Mountains Slender Salamander,Batrachoseps gavilanensis,#N/A,,508,102,3,,
Butterflies,Hairstreaks,Behr's Hairstreak,Satyrium behrii,#N/A,,504,0,,,
Flowering Plants,Monkeyflowers,Shield-bracted Monkeyflower,Erythranthe glaucescens,#N/A,,504,0,,,
Lizards,Phrynosomatid Lizards,Mojave Fringe-toed Lizard,Uma scoparia,#N/A,,502,0,,,
Butterflies,Fritillaries & Longwings,Zerene Fritillary,Argynnis zerene,2024-07-07,US-CA,501,137,,,
Nudibranchs,Dotidae,British Columbia Doto,Doto columbiana,#N/A,,492,351,6,,
Flowering Plants,Orchids,Denseflower Rein Orchid,Platanthera elongata,2025-07-05,US-CA,492,296,,,
Nudibranchs,Discodorididae,Two-spotted Dorid,Thordisa bimaculata,#N/A,,491,1,,,
Nudibranchs,Dendronotidae,White Dendronotus,Dendronotus albus,#N/A,,488,233,6,,
Nudibranchs,Corambidae,Pacific Corambe,Corambe pacifica,#N/A,,486,46,,,
Snakes,Colubrid Snakes,Mojave Shovelnose Snake,Sonora occipitalis,#N/A,,484,0,,,
Flowering Plants,Lilies,California Fawn Lily,Erythronium californicum,#N/A,,483,147,3,,
Mammals,Old World Mice & Rats,House Mouse,Mus musculus,#N/A,,482,197,10,,
Nudibranchs,Onchidorididae,Ridge-tailed Dorid,Diaphorodoris lirulatocauda,#N/A,,482,283,7,,
Mammals,Squirrels,Nelson's Antelope Squirrel,Ammospermophilus nelsoni,#N/A,,480,0,,,
Butterflies,Checkerspots & Anglewings,Hoary Comma,Polygonia gracilis,2023-07-23,US-CA,476,5,,,
Flowering Plants,Clarkias,Twolobe Clarkia,Clarkia biloba,#N/A,,476,110,6,,
Newts & Salamanders,Lungless Salamanders,Del Norte Salamander,Plethodon elongatus,#N/A,,474,0,,,
Mammals,Canids,Kit Fox,Vulpes macrotis,#N/A,,472,0,,,
Dragonflies,Skimmers,Red Saddlebags,Tramea onusta,2024-06-24,US-RI,465,34,,,
Mammals,Mustelids,American Mink,Neogale vison,2024-06-22,US-CA,462,213,,,
Butterflies,Blues,Sonoran Blue,Philotes sonorensis,#N/A,,457,129,2,,
Flowering Plants,Lilies,Coast Range Mariposa Lily,Calochortus vestae,2025-06-22,US-CA,457,309,,,
Flowering Plants,Lilies,Palmer's Mariposa Lily,Calochortus palmeri,#N/A,,455,0,,,
Nudibranchs,Facelinidae,Stearns' Aeolid,Austraeolis stearnsi,#N/A,,453,1,,,
Flowering Plants,Lilies,Coast Lily,Lilium maritimum,#N/A,,453,317,6,,Mendocino
Lizards,Phrynosomatid Lizards,Long-tailed Brush Lizard,Urosaurus graciosus,#N/A,,452,0,,,
Nudibranchs,Aeolidiidae,Colorful Aeolid,Anteaeolidiella chromosoma,#N/A,,450,2,,,
Butterflies,Grass Skippers,Wandering Skipper,Panoquina errans,#N/A,,450,0,,,
Newts & Salamanders,Lungless Salamanders,Santa Lucia Mountains Slender Salamander,Batrachoseps luciae,#N/A,,449,0,,,
Flowering Plants,Monkeyflowers,Wing-leaf Monkeyflower,Erythranthe ptilota,2024-09-07,US-CA,449,359,,,
Butterflies,True Metalmarks,Mormon Metalmark,Apodemia mormo,2024-08-13,US-CA,443,172,,,
Nudibranchs,Cadlinidae,Yellow-edged Cadlina,Cadlina luteomarginata,#N/A,,442,150,12,,
Butterflies,Blues,Dotted Blue,Euphilotes enoptes,2023-08-05,US-CA,440,144,,,
Mammals,Squirrels,Lodgepole Chipmunk,Neotamias speciosus,2023-08-19,US-CA,440,0,,,
Flowering Plants,Lilies,Purple Fawn Lily,Erythronium purpurascens,#N/A,,437,0,,,
Nudibranchs,Onchidorididae,Nanaimo Dorid,Acanthodoris nanaimoensis,2025-05-30,US-CA,436,214,,,
Nudibranchs,Chromodorids,MacFarland's Chromodorid,Felimida macfarlandi,#N/A,,430,0,,,
Butterflies,Yellows & Sulphurs,Large Orange Sulphur,Phoebis agarithe,2025-04-07,US-HI,430,0,,,
Damselflies,Narrow-winged Damselflies,Emma's Dancer,Argia emma,2025-05-26,US-CA,428,162,,,Sunol Regional Wilderness
Flowering Plants,Hellebores & Trilliums,Giant Purple Wakerobin,Trillium kurabayashii,#N/A,,427,3,,,
Butterflies,Coppers,Edith's Copper,Tharsalea editha,#N/A,,424,0,,,
Newts & Salamanders,Mole Salamanders,Long-toed Salamander,Ambystoma macrodactylum,#N/A,,424,118,5,,
Flowering Plants,Lilies,Brown Fritillary,Fritillaria micrantha,#N/A,,423,0,,,
Butterflies,Dicot Skippers,Northern Cloudywing,Thorybes pylades,2025-04-18,US-CA,421,226,,,
Frogs & Toads,True Toads,Yosemite Toad,Anaxyrus canorus,#N/A,,418,0,,,
Butterflies,Hairstreaks,Western Pine Elfin,Callophrys eryphon,2025-04-21,US-CA,416,84,,,
Flowering Plants,Hellebores & Trilliums,Brook Wakerobin,Pseudotrillium rivale,#N/A,,416,0,,,
Flowering Plants,Hellebores & Trilliums,Narrowpetal Wakerobin,Trillium angustipetalum,#N/A,,415,2,,,
Flowering Plants,Threadplants,Glandular Threadplant,Nemacladus glanduliferus,#N/A,,415,0,,,
Nudibranchs,Chromodorids,Porter's Chromodorid,Felimare porterae,#N/A,,414,0,,,
Nudibranchs,Cadlinidae,Dark-spot Cadlina,Cadlina sparsa,#N/A,,411,43,,,
Butterflies,Whites,Pine White,Neophasia menapia,2023-08-19,US-CA,411,41,,,
Butterflies,Checkerspots & Anglewings,Tiny Checkerspot,Dymasia dymas,2024-03-16,US-TX,408,0,,,
Flowering Plants,Monkeyflowers,Red Rock Canyon Monkeyflower,Erythranthe rhodopetra,#N/A,,407,0,,,
Butterflies,Whites,Becker's White,Pontia beckerii,#N/A,,406,0,,,
Flowering Plants,Lilies,Ojai Fritillary,Fritillaria ojaiensis,#N/A,,405,0,,,
Nudibranchs,Polyceridae,Hedgpeth's Dorid,Polycera hedgpethi,2024-08-27,US-CA,404,194,,,
Butterflies,Spread-wing Skippers,Two-banded Checkered-Skipper,Pyrgus ruralis,2023-08-05,US-CA,401,219,,,
Frogs & Toads,Typical Frogs,Sierra Nevada Yellow-legged Frog,Rana sierrae,#N/A,,401,0,,,
Snakes,Colubrid Snakes,California Lyresnake,Trimorphodon lyrophanes,#N/A,,400,0,,,
Flowering Plants,Lilies,Purple Fairy-Lantern,Calochortus amoenus,#N/A,,400,0,,,
Mammals,Eared Seals,Steller Sea Lion,Eumetopias jubatus,2023-09-16,US-CA,399,275,,,
Butterflies,Grass Skippers,Sonoran Skipper,Polites sonora,2023-08-19,US-CA,396,5,,,
Butterflies,"Satyrs, Morphos, & Allies",Great Basin Wood-Nymph,Cercyonis sthenele,2024-08-03,US-CA,395,120,,,
Nudibranchs,Babakinid Aeolids,Baba's Festive Aeolid,Babakina festiva,#N/A,,393,82,6,,
Butterflies,Checkerspots & Anglewings,Hoffmann's Checkerspot,Chlosyne hoffmanni,2023-08-19,US-CA,393,0,,,
Mammals,Porpoises,Harbor Porpoise,Phocoena phocoena,2023-02-18,US-CA,392,255,,,
Butterflies,Blues,Melissa Blue,Plebejus melissa,2023-08-06,US-CA,389,0,,,
Flowering Plants,Monkeyflowers,Sand-loving Monkeyflower,Erythranthe arenaria,#N/A,,388,0,,,
Butterflies,Yellows & Sulphurs,Sleepy Orange,Abaeis nicippe,2025-04-07,US-HI,379,0,,,
Nudibranchs,Dotidae,Seal Doto,Doto kya,#N/A,,378,133,6,,
Snakes,Colubrid Snakes,Resplendent Desert Shovel-nosed Snake,Sonora annulata,#N/A,,377,0,,,
Lizards,Night Lizards,Granite Night Lizard,Xantusia henshawi,#N/A,,377,0,,,
Flowering Plants,Monkeyflowers,Death Valley Monkeyflower,Diplacus rupicola,#N/A,,375,0,,,
Damselflies,Narrow-winged Damselflies,Desert Firetail,Telebasis salva,2024-09-10,US-CA,371,132,,,
Snakes,Threadsnakes,Western Threadsnake,Rena humilis,#N/A,,367,0,,,
Nudibranchs,Dendronotidae,Giant Nudibranch,Dendronotus iris,#N/A,,361,27,,,
Flowering Plants,Lilies,Bride's Bonnet,Clintonia uniflora,#N/A,,350,0,,,
Flowering Plants,Clarkias,Fort Miller Clarkia,Clarkia williamsonii,#N/A,,348,0,,,
Frogs & Toads,Typical Frogs,Cascades Frog,Rana cascadae,#N/A,,348,0,,,
Flowering Plants,Hellebores & Trilliums,Foothill Deathcamas,Toxicoscordion paniculatum,#N/A,,347,0,,,
Butterflies,Dicot Skippers,Silver-spotted Skipper,Epargyreus clarus,2024-06-27,US-RI,346,100,,,
Sea Stars,Long-armed Brittle Stars,Dwarf Brittle Star,Amphipholis squamata,#N/A,,345,56,6,,
Flowering Plants,Lilies,Adobe Lily,Fritillaria pluriflora,#N/A,,344,64,3,,
Newts & Salamanders,Torrent Salamanders,Southern Torrent Salamander,Rhyacotriton variegatus,#N/A,,344,0,,,
Flowering Plants,Monkeyflowers,Harlequin Monkeyflower,Diplacus bicolor,#N/A,,340,0,,,
Nudibranchs,Trinchesiidae,Yellowhead Aeolid,Diaphoreolis flavovulta,2024-09-19,US-CA,339,217,,,
Flowering Plants,Clarkias,Fairy Fans,Clarkia breweri,#N/A,,338,261,5,,
Flowering Plants,Clarkias,Delicate Clarkia,Clarkia delicata,#N/A,,333,0,,,
Flowering Plants,Clarkias,Presidio Clarkia,Clarkia franciscana,#N/A,,332,332,5,,Presidio or Oakland Serpentine Prairie
Butterflies,Coppers,Lustrous Copper,Lycaena cupreus,#N/A,,331,0,,,
Butterflies,Blues,Eastern Tailed-Blue,Cupido comyntas,2024-05-16,US-OH,330,190,,,
Frogs & Toads,Clawed Frogs,African Clawed Frog,Xenopus laevis,#N/A,,329,0,,,
Moths,Sphinginae,Rustic Sphinx,Manduca rustica,2025-01-02,CR-H,326,1,,,
Butterflies,Swallowtails,Two-tailed Swallowtail,Papilio multicaudata,2024-06-06,US-CA,326,195,,,
Butterflies,Fritillaries & Longwings,Hydaspe Fritillary,Argynnis hydaspe,2024-07-17,CA-AB,325,0,,,
Flowering Plants,Lilies,Kellogg's Lily,Lilium kelloggii,#N/A,,324,0,,,
Snakes,Vipers,Panamint Rattlesnake,Crotalus stephensi,#N/A,,324,0,,,
Flowering Plants,Lilies,Naked Mariposa Lily,Calochortus nudus,#N/A,,323,0,,,
Lizards,Phrynosomatid Lizards,Coachella Valley Fringe-toed Lizard,Uma inornata,#N/A,,323,0,,,
Flowering Plants,Lilies,Napa Fawn Lily,Erythronium helenae,#N/A,,319,318,4,,
Butterflies,Blues,Sierra Blue,Agriades podarce,2023-07-23,US-CA,317,0,,,
Flowering Plants,Lilies,Sierra Fawn Lily,Erythronium multiscapideum,#N/A,,317,0,,,
Snakes,Colubrid Snakes,Western Black-headed Snake,Tantilla planiceps,#N/A,,316,25,,,
Flowering Plants,Lilies,Pine Fritillary,Fritillaria pinetorum,#N/A,,315,0,,,
Butterflies,Blues,Lupine Blue,Icaricia lupini,#N/A,,313,0,,,
Snakes,Colubrid Snakes,Forest Sharp-tailed Snake,Contia longicaudae,#N/A,,313,285,6,,Mountains north of Santa Cruz
Lizards,Glass & Alligator Lizards,Northern Legless Lizard,Anniella pulchra,#N/A,,313,17,,,
Frogs & Toads,True Toads,Arroyo Toad,Anaxyrus californicus,#N/A,,311,0,,,
Nudibranchs,Goniodorididae,Los Angeles Goniodorid,Bermudella angelensis,#N/A,,310,25,,,
Mammals,Rorquals,Blue Whale,Balaenoptera musculus,2024-06-18,US-CA,308,148,,,
Flowering Plants,Bellflowers,Marsh Harebell,Eastwoodiella californica,#N/A,,307,278,7,,
Butterflies,Coppers,Blue Copper,Tharsalea heteronea,2024-07-07,US-CA,306,142,,,
Mammals,Oceanic Dolphins,Orca,Orcinus orca,2025-08-24,US-CA,306,60,,,
Nudibranchs,Cadlinidae,Red Aldisa,Aldisa sanguinea,#N/A,,304,43,,,
Mammals,Mice & Rats,Gambel's Deer Mouse,Peromyscus gambelii,2024-06-17,US-CA,304,24,,,
Flowering Plants,Violets,Northern Two-eyed Violet,Viola cuneata,#N/A,,304,0,,,
