Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Mammals,Felids,Mountain Lion,Puma concolor,#N/A,,"3,925","1,809",1,,
Mammals,Mustelids,North American River Otter,Lontra canadensis,2023-05-17,US-CA,"3,905","2,330",,,
Butterflies,Checkerspots & Anglewings,American Lady,Vanessa virginiensis,2023-07-28,US-CA,"3,848","1,590",,,
Flowering Plants,Violets,Goosefoot Violet,Viola purpurea,2026-03-07,US-CA,"3,780",404,,,
Flowering Plants,Orchids,Spotted Coralroot,Corallorhiza maculata,2026-04-17,US-CA,"3,775","1,660",5,,
Flowering Plants,Violets,Western Heart's Ease,Viola ocellata,2026-04-10,US-CA,"3,759","3,259",,,
Butterflies,Grass Skippers,Woodland Skipper,Ochlodes sylvanoides,2023-08-16,US-CA,"3,742","1,845",,,
Lizards,Iguanas & Chuckwallas,Desert Iguana,Dipsosaurus dorsalis,#N/A,,"3,727",0,,4,Anza Borego/Palm Springs
Butterflies,Spread-wing Skippers,Common Checkered-Skipper,Burnsius communis,2023-07-25,US-CA,"3,699","3,115",,,
Flowering Plants,Orchids,Broad-leaved Helleborine,Epipactis helleborine,2024-08-09,US-CA,"3,693","3,528",,,
Mammals,Bovids,Bighorn Sheep,Ovis canadensis,2024-07-19,CA-AB,"3,588",0,,,
Flowering Plants,Lilies,Diogenes' Lantern,Calochortus amabilis,2025-04-19,US-CA,"3,568","2,785",,,
Flowering Plants,Lilies,Weed's Mariposa Lily,Calochortus weedii,#N/A,,"3,523",0,,6,San Diego
Snakes,Colubrid Snakes,Common Garter Snake,Thamnophis sirtalis,#N/A,,"3,493","1,247",4,,
Snakes,Colubrid Snakes,Striped Racer,Masticophis lateralis,2024-08-13,US-CA,"3,402",285,,,
Butterflies,Blues,Silvery Blue,Glaucopsyche lygdamus,2024-03-23,US-CA,"3,380","1,337",,,
Newts & Salamanders,Lungless Salamanders,Black-bellied Slender Salamander,Batrachoseps nigriventris,#N/A,,"3,362",0,,1,South Coast hills
Frogs & Toads,Typical Frogs,Foothill Yellow-legged Frog,Rana boylii,2025-05-26,US-CA,"3,359","1,007",,,
Flowering Plants,Lilies,Tolmie's Pussy Ears,Calochortus tolmiei,2023-04-29,US-CA,"3,325","1,964",,,
Flowering Plants,Lilies,Leopard Lily,Lilium pardalinum,#N/A,,"3,273","1,084",6,,
Snakes,Vipers,Red Diamond Rattlesnake,Crotalus ruber,#N/A,,"3,273",0,,4,South Coast hills (south of LA)
Flowering Plants,Orchids,Fairy-Slipper,Calypso bulbosa,2026-03-14,US-CA,"3,258","2,052",,,
Flowering Plants,Orchids,White Bog Orchid,Platanthera dilatata,#N/A,,"3,254",171,6,,
Nudibranchs,Coryphellidae,Three-lined Aeolid,Coryphella trilineata,2024-10-17,US-CA,"3,243","1,446",,,
