Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Mammals,Hares & Rabbits,Black-tailed Jackrabbit,Lepus californicus,2023-03-17,"10,945","5,393",,,,,,,,,,,,No
Mammals,Canids,Gray Fox,Urocyon cinereoargenteus,2023-05-06,"10,923","3,404",,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Fremont's Death Camas,Toxicoscordion fremontii,2026-03-21,"10,917","8,046",,,,,,,,,,,,No
Nudibranchs,Doridina,Spotted Dorid,Triopha maculata,2024-08-22,"10,666","6,075",,,,,,,,,,,,Yes
Mammals,Earless Seals,Northern Elephant Seal,Mirounga angustirostris,2020-01-20,"10,507","5,037",,,,,,,,,,,,Yes
Salamanders,Lungless Salamanders,Arboreal Salamander,Aneides lugubris,2024-12-23,"10,152","8,693",,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,American Bullfrog,Lithobates catesbeianus,2023-11-05,"10,087","3,670",,,,,,,,,,,,No
Butterflies,Blues,Marine Blue,Leptotes marina,2023-07-28,"9,982",16,,,,,,,,,,,,No
Butterflies,Admirals & Allies,Lorquin's Admiral,Limenitis lorquini,2023-08-05,"9,798","3,815",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,West Coast Lady,Vanessa annabella,2023-07-29,"9,772","4,350",,,,,,,,,,,,No
Mammals,Skunks,Striped Skunk,Mephitis mephitis,2024-07-28,"9,691","2,767",,,,,,,,,,,,No
Mammals,Opossums,Virginia Opossum,Didelphis virginiana,2026-06-15,"9,402","2,757",,,,,SnFrB,4,,,,,,No
Flowers,Monkeyflowers,Southern Bush Monkeyflower,Diplacus longiflorus,#N/A,"6,819",0,5,4,,,TR,5,SCo,5,,,,No
Mammals,Hares & Rabbits,Brush Rabbit,Sylvilagus bachmani,2023-08-16,"9,013","5,785",,,,,,,,,,,,No
Mammals,Squirrels,Eastern Gray Squirrel,Sciurus carolinensis,2023-11-18,"8,884","8,787",,,,,,,,,,,,No
Butterflies,Satyrs & Morphos,Common Ringlet,Coenonympha california,2023-08-22,"8,840","5,650",,,,,,,,,,,,No
Mammals,Typical Bears,American Black Bear,Ursus americanus,2024-09-22,"8,743",282,,,,,,,,,,,,No
Nudibranchs,Doridina,Hopkins' Rose Nudibranch,Ceratodoris rosacea,2024-08-22,"8,710","3,195",,,,,,,,,,,,Yes
Flowers,Monkeyflowers,Seep Monkeyflower,Erythranthe guttata,2024-06-03,"8,576","3,578",,,,,,,,,,,,No
Flowers,Mariposa Lilies,Yellow Mariposa Lily,Calochortus luteus,2024-06-16,"8,525","7,030",,,,,,,,,,,,No
Flowers,Violets,California Golden Violet,Viola pedunculata,2025-04-23,"8,518","4,451",,,,,,,,,,,,No
Lizards,Skinks,Western Skink,Plestiodon skiltonianus,2024-07-06,"8,514","3,920",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Mylitta Crescent,Phyciodes mylitta,2023-07-25,"8,453","4,996",,,,,,,,,,,,No
Nudibranchs,Doridina,San Diego Dorid,Diaulula sandiegensis,2025-05-30,"8,359","3,921",,,,,,,,,,,,Yes
Snakes,Colubrid Snakes,Western Terrestrial Garter Snake,Thamnophis elegans,2023-11-11,"8,342","5,300",,,,,,,,,,,,No
Butterflies,Swallowtails,Pale Swallowtail,Papilio eurymedon,2023-07-23,"8,214","1,764",,,,,,,,,,,,No
Salamanders,Newts,Rough-skinned Newt,Taricha granulosa,2023-10-23,"8,201","6,389",,,,,,,,,,,,No
Mammals,Deer,Elk,Cervus canadensis,2023-11-11,"8,070","3,339",,,,,,,,,,,,No
Flowers,Beardtongues,Mountain Pride,Penstemon newberryi,2023-08-05,7920,124,,,,,,,,,,,,
Flowers,Mariposa Lilies,Splendid Mariposa Lily,Calochortus splendens,2026-05-30,"7,864",112,,,,,SnFrB,6,,,,,,No
Flowers,Clarkia,Elegant Clarkia,Clarkia unguiculata,2025-05-26,"7,856","3,360",,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,California Tortoiseshell,Nymphalis californica,2024-02-11,"7,804","3,658",,,,,,,,,,,,No
Frogs & Toads,Tree Frogs & Allies,California Tree Frog,Pseudacris cadaverina,#N/A,"6,674",0,4,3,5,Hills near LA,TR,4,PR,4,,,,No
Flowers,Fairybells & Allies,California Fetid Adderstongue,Scoliopus bigelovii,2026-03-21,"7,481","6,186",,,,,,,,,,,,No
