Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Mammals,Beavers,American Beaver,Castor canadensis,2024-07-16,"2,451","1,233",,,,,,,,,,,,No
Flowers,Bellflowers,California Harebell,Smithiastrum prenanthoides,2026-06-21,"2,447","1,420",,,,Mt Tam,SnFrB,7,,,,,Yes,No
Flowers,Beardtongues,Bridges' Penstemon,Penstemon rostriflorus,2026-06-13,2426,0,,,,,,,,,,,,
Flowers,Violets,Pine Violet,Viola lobata,2026-06-14,"2,414",477,,,,,SnFrB,4,,,,,,No
Snakes,Vipers,Mojave Rattlesnake,Crotalus scutulatus,#N/A,"1,037",0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Coast Mountain Kingsnake,Lampropeltis multifasciata,#N/A,"1,021",0,,,,,,,,,,,,No
Flowers,Clarkia,Botta's Clarkia,Clarkia bottae,#N/A,992,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Stubby Dendronotid,Dendronotus subramosus,2024-08-22,"2,387","1,824",,,,,,,,,,,,Yes
Mammals,Pocket Gophers,Botta's Pocket Gopher,Megascapheus bottae,2023-10-14,"2,353","1,101",,,,,,,,,,,,No
Nudibranchs,Doridina,Heath's Dorid,Geitodoris heathi,2026-03-16,"2,311","1,601",,,,,,,,,,,,Yes
Dragonflies,Skimmers,Common Whitetail,Plathemis lydia,2024-03-16,"2,308","1,435",,,,,,,,,,,,No
Flowers,True Lilies,Spotted Fritillary,Fritillaria atropurpurea,#N/A,967,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Coastal Monkeyflower,Erythranthe dentata,#N/A,920,0,,,,,,,,,,,,No
Flowers,Violets,Macloskie's Violet,Viola macloskeyi,#N/A,919,0,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Cloudless Sulphur,Phoebis sennae,2023-07-28,"2,291",4,,,,,,,,,,,,No
Flowers,Larkspurs,Zigzag Larkspur,Delphinium patens,2023-04-23,2279,1786,,,,,,,,,,,,
Butterflies,Spread-wing Skippers,White Checkered-Skipper,Burnsius albezens,2023-11-25,"2,270",0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Satyr Comma,Polygonia satyrus,2024-02-10,"2,269","1,445",,,,,,,,,,,,No
Butterflies,Grass Skippers,Rural Skipper,Ochlodes agricola,2024-05-22,"2,266","1,459",,,,,,,,,,,,No
Flowers,True Lilies,Leopard Lily,Lilium pardalinum,2026-06-21,"2,221","1,019",,,,,SnFrB,6,,,,,Yes,No
Flowers,Beardtongues,San Gabriel Beardtongue,Penstemon labrosus,#N/A,917,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Yellow and White Monkeyflower,Erythranthe bicolor,#N/A,912,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Warty Shag-rug Nudibranch,Aeolidia loui,2024-10-17,"2,135","1,345",,,,,,,,,,,,Yes
Flowers,True Lilies,Kelley's Lily,Lilium kelleyanum,#N/A,902,0,,,,Mammoth Lakes,,,,,,,,No
Flowers,True Lilies,Lemon Lily,Lilium parryi,#N/A,886,0,,,,,,,,,,,,No
Flowers,Violets,Hookedspur Violet,Viola adunca,2024-07-17,"2,056","1,163",,,,,,,,,,,,No
Snakes,Boas,Northern Rubber Boa,Charina bottae,2024-07-07,"2,055",897,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Desert Mariposa Lily,Calochortus kennedyi,2026-06-11,"2,037",0,,,,Mojave/Colorado desert edge,DMoj,5,SNE,6,,,,No
Flowers,Mariposa Lilies,Late-blooming Mariposa Lily,Calochortus fimbriatus,#N/A,881,0,7,,,,SCoR,7,TR,7,,,,No
Flowers,Monkeyflowers,Torrey's Monkeyflower,Diplacus torreyi,2026-06-10,"2,012",0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Fremont's Monkeyflower,Diplacus fremontii,#N/A,864,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Widow Skimmer,Libellula luctuosa,2024-06-08,"1,964","1,125",,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Olive's Aeolid,Anteaeolidiella oliviae,2026-02-01,"1,953",498,,,,,,,,,,,,Yes
Mammals,Suines,Eurasian Wild Pig,Sus scrofa,2023-10-21,"1,945","1,274",,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Flat-tailed Horned Lizard,Phrynosoma mcallii,#N/A,836,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Black Saddlebags,Tramea lacerata,2024-06-14,"1,919",892,,,,,,,,,,,,No
Dragonflies,Skimmers,Western Pondhawk,Erythemis collocata,2024-05-30,"1,917",683,,,,,,,,,,,,No
Nudibranchs,Doridina,California Chromodorid,Felimare californiensis,#N/A,824,0,,,,,,,,,,,,Yes
Mammals,Mice & Rats,Dusky-footed Woodrat,Neotoma fuscipes,2025-07-21,"1,889","1,640",,,,,,,,,,,,No
Mammals,Voles & Muskrats,California Vole,Microtus californicus,2023-07-29,"1,878","1,268",,,,,,,,,,,,No
Butterflies,Grass Skippers,Sandhill Skipper,Polites sabuleti,2023-08-13,"1,867",946,,,,,,,,,,,,No
Nudibranchs,Doridina,Cockerell's Dorid,Limacia cockerelli,2024-09-19,"1,828","1,326",,,,,,,,,,,,Yes
Mammals,Grey Whales,Gray Whale,Eschrichtius robustus,2023-04-29,"1,810",771,,,,,,,,,,,,Yes
Butterflies,True Metalmarks,Fatal Metalmark,Calephelis nemesis,#N/A,809,0,,,,,,,,,,,,No
Flowers,Fairybells & Allies,Largeflower Fairybells,Prosartes smithii,2026-04-25,"1,749",587,,,,,,,,,,,,No
Flowers,Beardtongues,Hot Rock Penstemon,Penstemon deustus,#N/A,791,0,,,,,,,,,,,,
Salamanders,Lungless Salamanders,Del Norte Salamander,Plethodon elongatus,#N/A,773,0,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Mojave Fringe-toed Lizard,Uma scoparia,#N/A,739,0,,,,,,,,,,,,No
Flowers,True Lilies,Sierra Tiger Lily,Lilium parvum,2023-08-19,"1,719",0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Sagebrush Checkerspot,Chlosyne acastus,#N/A,737,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Neon Skimmer,Libellula croceipennis,2025-11-28,"1,702",1,,,,LA/San Diego,,,,,,,,No
Butterflies,Grass Skippers,Wandering Skipper,Panoquina errans,#N/A,730,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Hammerhead Doto,Doto amyra,2024-08-22,"1,684","1,489",,,,,,,,,,,,Yes
Flowers,Orchids,Sparse-flowered Bog Orchid,Platanthera sparsiflora,#N/A,729,0,,,,,SNE,6,,,,,,No
Butterflies,Checkerspots & Anglewings,Edith's Checkerspot,Euphydryas editha,2023-07-23,"1,605",503,,,,,,,,,,,,No
Mammals,Canids,Kit Fox,Vulpes macrotis,#N/A,728,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Red-tailed Pennant,Brachymesia furcata,#N/A,714,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,San Luis Mariposa Lily,Calochortus obispoensis,#N/A,713,0,6,,,SLO area,SCoR,,,,,,,No
Flowers,Monkeyflowers,Kellogg's Monkeyflower,Diplacus kelloggii,2026-03-08,"1,574",228,,,,,,,,,,,,No
Flowers,Beardtongues,Davidson's Penstemon,Penstemon davidsonii,#N/A,713,0,,,,,,,,,,,,
Flowers,Mariposa Lilies,Goldenbowl Mariposa Lily,Calochortus concolor,#N/A,709,0,6,,,,PR,,,,,,,No
Flowers,True Lilies,Washington Lily,Lilium washingtonianum,#N/A,708,0,,,,Sierras/Shasta,,,,,,,,No
Butterflies,Coppers,Purplish Copper,Tharsalea helloides,2024-09-22,"1,552",853,,,,,,,,,,,,No
Moths,Buck & Io Moths,Western Sheep Moth,Hemileuca eglanterina,2023-08-06,"1,549",391,,,,,,,,,,,,No
Mammals,Oceanic Dolphins,Common Dolphin,Delphinus delphis,2024-06-18,"1,549",47,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Western Leaf-nosed Snake,Phyllorhynchus decurtatus,#N/A,696,0,,,,,,,,,,,,No
Butterflies,Grass Skippers,Eufala Skipper,Lerodea eufala,2023-11-25,"1,507",130,,,,,,,,,,,,No
Flowers,Monkeyflowers,Tiling's Monkeyflower,Erythranthe tilingii,#N/A,673,0,,,,,,,,,,,,No
Mammals,Squirrels,Nelson's Antelope Squirrel,Ammospermophilus nelsoni,#N/A,657,0,,,,,,,,,,,,No
Flowers,Beardtongues,Rydberg's Beardtongue,Penstemon rydbergii,#N/A,657,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Musk Monkeyflower,Erythranthe moschata,2023-08-19,"1,486",0,,,,,,,,,,,,No
Flowers,Orchids,Flat Spurred Piperia,Platanthera transversa,2026-06-14,"1,466",940,,,,"Lake Lagunitas, Mt Tam, China Camp",SnFrB,6,,,,,,No
Flowers,Mariposa Lilies,Pink Star-Tulip,Calochortus uniflorus,2026-04-10,"1,461",935,,,,,,,,,,,,No
Flowers,True Lilies,Purple Fawn Lily,Erythronium purpurascens,#N/A,646,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Magnificent Seep Monkeyflower,Erythranthe grandis,2026-03-14,"1,458",840,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,California Dogface,Zerene eurydice,2025-05-31,"1,449",541,,,,,,,,,,,,No
Flowers,Monkeyflowers,Monterey Monkeyflower,Diplacus linearis,#N/A,635,0,,,,,,,,,,,,No
Butterflies,Coppers,Gorgon Copper,Tharsalea gorgon,2024-05-22,"1,436",909,,,,,,,,,,,,No
Flowers,Orchids,Elegant Rein Orchid,Platanthera elegans,2024-08-09,"1,435","1,126",,,,,,,,,,,,No
Nudibranchs,Doridina,MacFarland's Chromodorid,Felimida macfarlandi,#N/A,632,0,,,,,,,,,,,,Yes
Mammals,Old World Mice & Rats,Black Rat,Rattus rattus,2025-11-07,"1,430",445,,,,,,,,,,,,No
Butterflies,Hairstreaks,Sylvan Hairstreak,Satyrium sylvinus,2025-05-28,"1,420",177,,,,"Sunol Regional Wilderness, Pinnacles",,,,,,,,No
Dragonflies,Skimmers,Eight-spotted Skimmer,Libellula forensis,2024-06-01,"1,386",695,,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Santa Lucia Mountains Slender Salamander,Batrachoseps luciae,#N/A,623,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Superb Mariposa Lily,Calochortus superbus,2026-06-10,"1,384",93,,,,,SnFrB,5,,,,,,No
Flowers,Mariposa Lilies,Palmer's Mariposa Lily,Calochortus palmeri,#N/A,613,0,6,5,,,TR,,PR,,,,,No
Butterflies,Blues,Greenish Blue,Icaricia saepiolus,2024-07-18,"1,375",0,,,,,,,,,,,,No
Butterflies,Whites,Becker's White,Pontia beckerii,#N/A,591,0,,,,,,,,,,,,No
Mammals,Pikas,American Pika,Ochotona princeps,2024-07-17,"1,369",0,,,,,,,,,,,,No
Dragonflies,Skimmers,Twelve-spotted Skimmer,Libellula pulchella,2024-07-26,"1,365",330,,,,,,,,,,,,No
Frogs & Toads,True Toads,Red-spotted Toad,Anaxyrus punctatus,2023-11-25,"1,364",0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Tiburon Mariposa Lily,Calochortus tiburonensis,2025-05-29,"1,363","1,363",,,,,,,,,,,,No
Butterflies,Parnassians,Clodius Parnassian,Parnassius clodius,2023-07-23,"1,353",1,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Mojave Shovelnose Snake,Sonora occipitalis,#N/A,583,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Purple Fairy-Lantern,Calochortus amoenus,#N/A,577,0,4,5,,,SNF,,,,,,,No
Flowers,Violets,Mountain Yellow Violet,Viola pinetorum,#N/A,577,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Porter's Chromodorid,Neptunazurea porterae,#N/A,573,0,,,,,,,,,,,,Yes
Dragonflies,Spiketails,Pacific Spiketail,Zoraena dorsalis,2024-06-06,"1,333",723,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Long-tailed Brush Lizard,Urosaurus graciosus,#N/A,571,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,California Hairstreak,Satyrium californica,2025-05-31,"1,316",258,,,,,,,,,,,,No
Frogs & Toads,True Toads,Yosemite Toad,Anaxyrus canorus,#N/A,567,0,,,,,SNE,6,,,,,,No
Flowers,Larkspurs,Desert Larkspur,Delphinium parishii,2026-06-11,1292,0,,,,,,,,,,,,
Flowers,True Lilies,Sierra Fawn Lily,Erythronium multiscapideum,#N/A,531,0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,California Lyresnake,Trimorphodon lyrophanes,#N/A,531,0,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Callippe Fritillary,Argynnis callippe,2024-06-06,"1,284",372,,,,,,,,,,,,No
Butterflies,Blues,Ceraunus Blue,Hemiargus ceraunus,2023-11-25,"1,271",0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Familiar Bluet,Enallagma civile,2024-03-16,"1,269",423,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Sierra Garter Snake,Thamnophis couchii,2024-09-20,"1,263",0,,,,,,,,,,,,No
Flowers,Violets,Beckwith's Violet,Viola beckwithii,#N/A,530,0,,,,,,,,,,,,No
Mammals,Oceanic Dolphins,Risso's Dolphin,Grampus griseus,2024-08-31,"1,253",107,,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,Sierra Nevada Yellow-legged Frog,Rana sierrae,#N/A,521,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Sierra Mariposa Lily,Calochortus minimus,2023-08-19,"1,211",0,,,,,,,,,,,,No
Flowers,True Lilies,Bride's Bonnet,Clintonia uniflora,#N/A,512,0,,,,,,,,,,,,No
Flowers,Orchids,Striped Coralroot,Corallorhiza striata,2026-04-10,"1,202",861,,,,,,,,,,,,No
Butterflies,Coppers,Lustrous Copper,Lycaena cupreus,#N/A,511,0,,,,,SNE,6,,,,,,No
Flowers,True Lilies,Brown Fritillary,Fritillaria micrantha,#N/A,506,0,,,,,,,,,,,,No
Butterflies,Checkerspots & Anglewings,Hoary Comma,Polygonia gracilis,2023-07-23,"1,168",5,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Three-lined Aeolid,Orienthella trilineata,2024-10-17,"1,153",525,,,,,,,,,,,,Yes
Flowers,Beardtongues,Mountain Blue Penstemon,Penstemon laetus,2026-06-14,1145,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Shield-bracted Monkeyflower,Erythranthe glaucescens,#N/A,504,0,,,,,,,,,,,,No
Flowers,Larkspurs,Byron Larkspur,Delphinium recurvatum,#N/A,489,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Brewer's Monkeyflower,Erythranthe breweri,2026-06-14,"1,135",0,,,,,,,,,,,,No
Flowers,True Lilies,Ojai Fritillary,Fritillaria ojaiensis,#N/A,480,0,,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,Cascades Frog,Rana cascadae,#N/A,480,0,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Coronis Fritillary,Argynnis coronis,2024-09-22,"1,127",472,,,,,,,,,,,,No
Butterflies,Blues,Lupine Blue,Icaricia lupini,#N/A,469,0,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Colorado Desert Shovelnose Snake,Sonora annulata,#N/A,469,0,,,,,,,,,,,,No
Nudibranchs,Cladobranchia,Laguna Beach Aeolid,Tenellia lagunae,2026-02-01,"1,119",808,,,,,,,,,,,,Yes
Salamanders,Torrent Salamanders,Southern Torrent Salamander,Rhyacotriton variegatus,#N/A,467,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Spot-winged Glider,Pantala hymenaea,2024-06-25,"1,105",316,,,,,,,,,,,,No
Snakes,Threadsnakes,Western Threadsnake,Rena humilis,#N/A,465,0,,,,,,,,,,,,No
Snakes,Vipers,Panamint Rattlesnake,Crotalus stephensi,#N/A,461,0,,,,,SNE,6,,,,,,No
Lizards,Night Lizards,Granite Night Lizard,Xantusia henshawi,#N/A,458,0,,,,,,,,,,,,No
Flowers,True Lilies,Columbia Lily,Lilium columbianum,#N/A,434,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Ancula pacifica,Ancula pacifica,2026-04-25,"1,082",356,,,,,,,,,,,,Yes
Flowers,Mariposa Lilies,Naked Mariposa Lily,Calochortus nudus,#N/A,432,0,7,6,,,CaR,,SNH,,,,,No
Flowers,Hellebores & Trilliums,Brook Wakerobin,Pseudotrillium rivale,#N/A,427,0,,,,,,,,,,,,No
Butterflies,Coppers,Great Copper,Tharsalea xanthoides,2024-05-30,"1,067",384,,,,,,,,,,,,No
Salamanders,Mole Salamanders,California Tiger Salamander,Ambystoma californiense,2026-04-18,"1,057",722,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Dainty Sulphur,Nathalis iole,2024-03-16,"1,045",2,,,,,,,,,,,,No
Snakes,Typical Blind Snakes,Brahminy Blindsnake,Indotyphlops braminus,#N/A,427,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Skunky Monkeyflower,Diplacus mephiticus,2026-06-11,"1,035",0,,,,,SNE,6,,,,,,No
Birds,Other Birds,Nanday Parakeet,Aratinga nenday,2021-11-21,1022,0,,,,,,,,,,,,
Flowers,Threadplants,Glandular Threadplant,Nemacladus glanduliferus,#N/A,415,0,,,,,,,,,,,,No
Flowers,Clarkia,Slender Clarkia,Clarkia gracilis,2026-04-18,"1,018",726,,,,,,,,,,,,No
Flowers,Beardtongues,Sierra Penstemon,Penstemon heterodoxus,2023-08-05,1016,0,,,,,,,,,,,,
Damselflies,Narrow-winged,Western Forktail,Ischnura perparva,2024-06-01,"1,004",498,,,,,,,,,,,,No
Frogs & Toads,Clawed Frogs,African Clawed Frog,Xenopus laevis,#N/A,411,0,,,,,,,,,,,,No
Butterflies,Blues,Shasta Blue,Icaricia shasta,#N/A,407,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Red Rock Canyon Monkeyflower,Erythranthe rhodopetra,#N/A,407,0,,,,,,,,,,,,No
Mammals,Squirrels,Belding's Ground Squirrel,Urocitellus beldingi,2023-08-05,981,0,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Coachella Valley Fringe-toed Lizard,Uma inornata,#N/A,392,0,,,,,,,,,,,,No
Mammals,Squirrels,Sonoma Chipmunk,Neotamias sonomae,2024-07-06,973,929,,,,,,,,,,,,No
Lizards,Collared Lizards,Blunt-nosed Leopard Lizard,Gambelia sila,#N/A,389,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Sand-loving Monkeyflower,Erythranthe arenaria,#N/A,388,0,,,,,,,,,,,,No
Frogs & Toads,True Toads,Arroyo Toad,Anaxyrus californicus,#N/A,376,0,,,,,,,,,,,,No
Butterflies,Satyrs & Morphos,Common Wood-Nymph,Cercyonis pegala,2024-06-03,959,748,,,,,,,,,,,,No
Flowers,Monkeyflowers,Death Valley Monkeyflower,Diplacus rupicola,#N/A,375,0,,,,,,,,,,,,No
Butterflies,Blues,Western Tailed-Blue,Cupido amyntula,2024-06-18,958,46,,,,,,,,,,,,No
Butterflies,Grass Skippers,Field Skipper,Atalopedes campestris,2024-09-09,956,564,,,,,,,,,,,,No
Damselflies,Narrow-winged,Tule Bluet,Enallagma carunculatum,2024-06-08,950,371,,,,,,,,,,,,No
Flowers,Violets,Douglas' Violet,Viola douglasii,2026-03-08,941,142,,,,,,,,,,,,No
Flowers,Lobelias,Doublehorn Calicoflower,Downingia bicornuta,2026-05-09,930,482,,,,Near Mather (Sac area),SnFrB,5,,,,,,No
Moths,Sphinx Moths,Rocky Mountain Clearwing,Hemaris thetis,2024-06-06,922,155,,,,,,,,,,,,No
Dragonflies,Skimmers,Wandering Glider,Pantala flavescens,2024-04-24,921,154,,,,,,,,,,,,No
Flowers,True Lilies,Pine Fritillary,Fritillaria pinetorum,#N/A,375,0,,,,,,,,,,,,No
Birds,Passerines,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,#N/A,365,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Striped Meadowhawk,Sympetrum pallipes,2024-08-20,918,296,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Sagebrush Mariposa Lily,Calochortus macrocarpus,#N/A,358,0,,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Island Fence Lizard,Sceloporus becki,#N/A,357,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Rambur's Forktail,Ischnura ramburii,#N/A,351,0,,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Foothill Deathcamas,Toxicoscordion paniculatum,#N/A,350,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Alkali Mariposa Lily,Calochortus striatus,#N/A,342,0,,,,,,,,,,,,No
Mammals,Moles & Desmans,Southern Broad-footed Mole,Scapanus occultus,#N/A,342,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Harlequin Monkeyflower,Diplacus bicolor,#N/A,340,0,,,,,,,,,,,,No
Mammals,Mice & Rats,Big-eared Woodrat,Neotoma macrotis,#N/A,335,0,,,,,,,,,,,,No
Flowers,Orchids,Phantom Orchid,Cephalanthera austiniae,2026-06-14,891,28,,,,,,,,,,,,No
Flowers,Hellebores & Trilliums,Fringed False Hellebore,Veratrum fimbriatum,2026-04-25,886,657,,,,,,,,,,,,No
Flowers,Beardtongues,San Bernardino Beardtongue,Penstemon caesius,#N/A,334,0,,,,,,,,,,,,
Flowers,Clarkia,Delicate Clarkia,Clarkia delicata,#N/A,333,0,,,,,,,,,,,,No
Butterflies,Fritillaries & Longwings,Zerene Fritillary,Argynnis zerene,2024-07-07,878,223,,,,,,,,,,,,No
Dragonflies,Clubtails,Grappletail,Octogomphus specularis,2025-06-21,874,365,,,,,,,,,,,,No
Butterflies,Hairstreaks,Golden Hairstreak,Habrodais grunus,2023-10-13,872,376,,,,,,,,,,,,No
Mammals,Kangaroo Rats,Merriam's Kangaroo Rat,Dipodomys merriami,#N/A,325,0,,,,,,,,,,,,No
Butterflies,Yellows & Sulphurs,Large Orange Sulphur,Phoebis agarithe,2025-04-07,872,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Mountain Mahogany Hairstreak,Satyrium tetra,2025-07-03,866,155,,,,Mt Diablo summit (June 20thish),,,,,,,,No
Frogs & Toads,Tailed Frogs,Coastal Tailed Frog,Ascaphus truei,#N/A,323,0,,,,,,,,,,,,No
Butterflies,Coppers,Tailed Copper,Tharsalea arota,2024-06-14,864,327,,,,,,,,,,,,No
Mammals,Kangaroo Rats,Desert Kangaroo Rat,Dipodomys deserti,#N/A,321,0,,,,,,,,,,,,No
Flowers,Beardtongues,Slender Beardtongue,Penstemon gracilentus,#N/A,321,0,,,,,,,,,,,,
Mammals,Voles & Muskrats,Muskrat,Ondatra zibethicus,2024-07-02,856,503,,,,,,,,,,,,No
Birds,Other Birds,Lilac-crowned Amazon,Amazona finschi,2024-01-15,846,0,,,,,,,,,,,,
Birds,Passerines,Scott's Oriole,Icterus parisorum,2022-04-29,842,0,,,,,,,,,,,,
Flowers,Mariposa Lilies,Dunn's Mariposa Lily,Calochortus dunnii,#N/A,316,0,,,,,,,,,,,,No
Butterflies,True Metalmarks,Mexican Metalmark,Apodemia mejicanus,#N/A,314,0,,,,,,,,,,,,No
Damselflies,Narrow-winged,Sooty Dancer,Argia lugens,2024-07-27,829,122,,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Klamath Black Salamander,Aneides klamathensis,#N/A,311,0,,,,,,,,,,,,No
Flowers,Lobelias,Maroonspot Calicoflower,Downingia concolor,2026-04-18,813,757,,,,,,,,,,,,No
Flowers,Fairybells & Allies,White Twisted-Stalk,Streptopus amplexifolius,#N/A,310,0,,,,,,,,,,,,No
Flowers,Beardtongues,Panamint Beardtongue,Penstemon floridus,#N/A,309,0,,,,,,,,,,,,
Mammals,Pronghorns,Pronghorn,Antilocapra americana,2024-04-07,800,1,,,,,,,,,,,,No
Flowers,Violets,Northern Two-eyed Violet,Viola cuneata,#N/A,304,0,,,,,,,,,,,,No
Dragonflies,Skimmers,Four-spotted Skimmer,Libellula quadrimaculata,2023-08-19,793,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Loki Hairstreak,Callophrys loki,#N/A,303,0,,,,,,,,,,,,No
Dragonflies,Clubtails,Pacific Clubtail,Phanogomphus kurilis,2025-05-31,778,504,,,,,,,,,,,,No
Flowers,Threadplants,Desert Threadplant,Nemacladus rubescens,#N/A,295,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Island Bush Monkeyflower,Diplacus parviflorus,2024-06-17,772,0,,,,,,,,,,,,No
Nudibranchs,Doridina,Hedgpeth's Dorid,Polycera hedgpethi,2024-08-27,765,243,,,,,,,,,,,,Yes
Moths,Buck & Io Moths,Electra Buckmoth,Hemileuca electra,#N/A,290,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Bruneau Mariposa Lily,Calochortus bruneaunis,2026-06-11,761,0,,,,,SNE,6,,,,,,No
Flowers,Clarkia,Farewell-To-Spring,Clarkia amoena,2024-07-07,759,582,,,,,,,,,,,,No
Nudibranchs,Doridina,Nanaimo Dorid,Acanthodoris nanaimoensis,2025-05-30,759,431,,,,,,,,,,,,Yes
Flowers,True Lilies,Kellogg's Lily,Lilium kelloggii,#N/A,289,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Coastal Green Hairstreak,Callophrys viridis,2024-03-30,754,696,,,,,,,,,,,,No
Flowers,Monkeyflowers,Dudley's Monkeyflower,Erythranthe geniculata,#N/A,287,0,,,,,,,,,,,,No
Flowers,True Lilies,Glacier Lily,Erythronium grandiflorum,#N/A,284,0,,,,,,,,,,,,No
Butterflies,Hairstreaks,Behr's Hairstreak,Satyrium behrii,2026-06-13,742,0,,,,,SNE,6,,,,,,No
Birds,Water & Shorebirds,Tricolored Heron,Egretta tricolor,2021-11-21,739,0,,,,,,,,,,,,
Flowers,Lobelias,Bach's Calicoflower,Downingia bacigalupii,#N/A,283,0,,,,,,,,,,,,No
Flowers,Mariposa Lilies,Beavertail-Grass,Calochortus coeruleus,#N/A,282,0,,,,,,,,,,,,No
Flowers,Clarkia,Dudley's Clarkia,Clarkia dudleyana,#N/A,280,0,,,,,,,,,,,,No
Lizards,Night Lizards,Island Night Lizard,Xantusia riversiana,#N/A,276,0,,,,,,,,,,,,No
Flowers,Larkspurs,Sierra Larkspur,Delphinium glaucum,#N/A,276,0,,,,,,,,,,,,
Flowers,Monkeyflowers,Miniature Monkeyflower,Erythranthe suksdorfii,#N/A,273,0,,,,,SNE,6,,,,,,No
Lizards,Phyllodactylid Geckos,Moorish Gecko,Tarentola mauritanica,#N/A,273,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Granite-crack Monkeyflower,Diplacus graniticola,#N/A,272,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Cut-leaved Monkeyflower,Erythranthe laciniata,#N/A,266,0,,,,,,,,,,,,No
Salamanders,Lungless Salamanders,Gregarious Slender Salamander,Batrachoseps gregarius,#N/A,264,0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Cleveland's Bush Monkeyflower,Diplacus clevelandii,#N/A,263,0,,,,,,,,,,,,No
Birds,Other Birds,Lesser Nighthawk,Chordeiles acutipennis,2022-04-28,718,37,,,,,,,,,,,,
Flowers,Threadplants,Redtip Threadplant,Nemacladus orientalis,#N/A,262,0,,,,,SNE,6,,,,,,No
Snakes,Colubrid Snakes,Desert Nightsnake,Hypsiglena chlorophaea,#N/A,259,0,,,,,,,,,,,,No
